استان,نام استان,شهرستان,نام شهرستان,بخش,نام بخش
03,آذربايجان شرقي,03,تبريز,03,مرکزي
03,آذربايجان شرقي,03,تبريز,04,خسروشاه
03,آذربايجان شرقي,19,جلفا,01,سيه رود
03,آذربايجان شرقي,19,جلفا,02,مرکزي
03,آذربايجان شرقي,23,چاراويماق,01,شاديان
03,آذربايجان شرقي,23,چاراويماق,02,مرکزي
03,آذربايجان شرقي,26,خداآفرين,01,مرکزي
03,آذربايجان شرقي,26,خداآفرين,02,گرمادوز
03,آذربايجان شرقي,26,خداآفرين,03,منجوان
03,آذربايجان شرقي,05,سراب,01,مرکزي
03,آذربايجان شرقي,05,سراب,02,مهربان
03,آذربايجان شرقي,14,شبستر,01,صوفيان
03,آذربايجان شرقي,14,شبستر,02,مرکزي
03,آذربايجان شرقي,14,شبستر,03,تسوج
03,آذربايجان شرقي,25,عجب شير,01,قلعه چاي
03,آذربايجان شرقي,25,عجب شير,02,مرکزي
03,آذربايجان شرقي,15,کليبر,02,مرکزي
03,آذربايجان شرقي,15,کليبر,03,آبش احمد
03,آذربايجان شرقي,06,مراغه,02,مرکزي
03,آذربايجان شرقي,06,مراغه,03,سراجو
03,آذربايجان شرقي,07,مرند,02,مرکزي
03,آذربايجان شرقي,07,مرند,03,يامچي
03,آذربايجان شرقي,20,ملکان,01,ليلان
03,آذربايجان شرقي,20,ملکان,02,مرکزي
03,آذربايجان شرقي,10,ميانه,01,ترکمانچاي
03,آذربايجان شرقي,10,ميانه,02,کاغذکنان
03,آذربايجان شرقي,10,ميانه,03,کندوان
03,آذربايجان شرقي,10,ميانه,04,مرکزي
03,آذربايجان شرقي,16,هريس,01,خواجه
03,آذربايجان شرقي,16,هريس,02,مرکزي
03,آذربايجان شرقي,11,هشترود,02,مرکزي
03,آذربايجان شرقي,11,هشترود,03,نظرکهريزي
03,آذربايجان شرقي,27,هوراند,01,مرکزي
03,آذربايجان شرقي,27,هوراند,02,چهاردانگه
03,آذربايجان شرقي,24,ورزقان,01,خاروانا
03,آذربايجان شرقي,24,ورزقان,02,مرکزي
04,آذربايجان غربي,01,اروميه,01,انزل
04,آذربايجان غربي,01,اروميه,02,سيلوانه
04,آذربايجان غربي,01,اروميه,03,صومائ برادوست
04,آذربايجان غربي,01,اروميه,04,مركزئ
04,آذربايجان غربي,01,اروميه,05,نازلو
04,آذربايجان غربي,13,اشنويه,01,مركزئ
04,آذربايجان غربي,13,اشنويه,02,نالوس
